Genero,avg(Precio)
Action;Casual;Indie;Massively Multiplayer;RPG;Simulation,4.989999771118164
Action;Casual;Indie;Massively Multiplayer;RPG;Simulation;Early Access,3.990000009536743
Action;Casual;Indie;Massively Multiplayer;Racing,2.0899999141693115
Action;Casual;Indie;Massively Multiplayer;Simulation,4.9899998505910235
Action;Casual;Indie;Massively Multiplayer;Simulation;Early Access,6.139999985694885
Action;Casual;Indie;Massively Multiplayer;Simulation;Sports,1.9950000047683716
Action;Casual;Indie;Massively Multiplayer;Simulation;Strategy,0.7900000214576721
Action;Casual;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,1.590000033378601
Action;Casual;Indie;Massively Multiplayer;Sports;Early Access,0.0
Action;Casual;Indie;Massively Multiplayer;Sports;Strategy,5.190000057220459
Action;Casual;Indie;Massively Multiplayer;Strategy,0.39500001072883606
Action;Casual;Indie;Massively Multiplayer;Strategy;Early Access,3.523333251476288
Action;Casual;Indie;RPG,3.2733333475059934
Action;Casual;Indie;RPG;Early Access,3.6900000095367433
Action;Casual;Indie;RPG;Simulation,4.247142808777945
Action;Casual;Indie;RPG;Simulation;Sports;Strategy,0.0
Action;Casual;Indie;RPG;Simulation;Strategy,5.690000057220459
Action;Casual;Indie;RPG;Sports,6.590000033378601
Action;Casual;Indie;RPG;Sports;Early Access,1.690000057220459
Action;Casual;Indie;RPG;Sports;Strategy;Early Access,5.590000152587891
Action;Casual;Indie;RPG;Strategy,3.6233333746592202
Action;Casual;Indie;RPG;Strategy;Early Access,5.659999926884969
Action;Casual;Indie;Racing,3.481315757098951
Action;Casual;Indie;Racing;Early Access,2.889999955892563
Action;Casual;Indie;Racing;RPG;Simulation;Sports;Early Access,7.190000057220459
Action;Casual;Indie;Racing;RPG;Simulation;Strategy;Early Access,26.989999771118164
Action;Casual;Indie;Racing;Simulation,4.998333265384038
Action;Casual;Indie;Racing;Simulation;Sports,7.097142777272633
Action;Casual;Indie;Racing;Simulation;Sports;Early Access,4.789999961853027
Action;Casual;Indie;Racing;Simulation;Sports;Strategy,2.3900000154972076
Action;Casual;Indie;Racing;Simulation;Sports;Strategy;Early Access,13.989999771118164
Action;Casual;Indie;Racing;Simulation;Strategy,7.139999896287918
Action;Casual;Indie;Racing;Sports,5.602499954402447
Action;Casual;Indie;Racing;Sports;Early Access,10.889999866485596
Action;Casual;Indie;Racing;Sports;Strategy;Early Access,1.690000057220459
Action;Casual;Indie;Racing;Strategy,4.989999771118164
Action;Casual;Indie;Simulation,3.5232940912246704
Action;Casual;Indie;Simulation;Early Access,6.051538398632636
Action;Casual;Indie;Simulation;Sports,6.078888856702381
Action;Casual;Indie;Simulation;Sports;Early Access,6.534444464577569
Action;Casual;Indie;Simulation;Sports;Strategy,12.989999771118164
Action;Casual;Indie;Simulation;Strategy,6.104893534741503
Action;Casual;Indie;Simulation;Strategy;Early Access,7.930999934673309
Action;Casual;Indie;Sports,5.39055550981451
Action;Casual;Indie;Sports;Early Access,7.113846063613892
Action;Casual;Indie;Sports;Strategy,5.789999902248383
Action;Casual;Indie;Strategy,4.31666663976816
Action;Casual;Indie;Strategy;Early Access,4.7185713819095065
Action;Casual;Massively Multiplayer,0.0
Action;Casual;Massively Multiplayer;Racing;Simulation;Sports;Early Access,6.989999771118164
Action;Casual;Massively Multiplayer;Simulation;Strategy,3.990000009536743
Action;Casual;Massively Multiplayer;Strategy;Early Access,3.990000009536743
Action;Casual;RPG,4.5899999141693115
Action;Casual;RPG;Sports,13.989999771118164
Action;Casual;RPG;Strategy,1.690000057220459
Action;Casual;Racing,7.561428444726126
Action;Casual;Racing;Simulation,0.7900000214576721
Action;Casual;Racing;Simulation;Sports,8.789999842643738
Action;Casual;Racing;Sports,3.990000009536743
Action;Casual;Simulation,5.750312473624945
Action;Casual;Simulation;Early Access,3.5899999290704727
Action;Casual;Simulation;Sports,6.896249920129776
Action;Casual;Simulation;Sports;Early Access,7.190000057220459
Action;Casual;Simulation;Sports;Strategy,18.739999771118164
Action;Casual;Simulation;Strategy,7.881666521231334
Action;Casual;Simulation;Strategy;Early Access,3.990000009536743
Action;Casual;Sports,7.301111009385851
Action;Casual;Strategy,4.619285647358213
Action;Casual;Strategy;Early Access,1.795000046491623
Action;Early Access,8.302173881427102
Action;Free to Play,0.0
Action;Free to Play;Early Access,0.0
Action;Free to Play;Indie,0.0
Action;Free to Play;Indie;Early Access,0.0
Action;Free to Play;Indie;Massively Multiplayer,0.0
Action;Free to Play;Indie;Massively Multiplayer;Early Access,0.0
Action;Free to Play;Indie;Massively Multiplayer;RPG,0.0
Action;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,0.0
Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation,0.0
Action;Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,0.0
Action;Free to Play;Indie;Massively Multiplayer;Racing;Simulation;Early Access,0.0
Action;Free to Play;Indie;Massively Multiplayer;Racing;Sports;Strategy,0.0
Action;Free to Play;Indie;Massively Multiplayer;Simulation,0.0
Action;Free to Play;Indie;Massively Multiplayer;Sports,0.0
Action;Free to Play;Indie;Massively Multiplayer;Strategy,0.0
Action;Free to Play;Indie;Massively Multiplayer;Strategy;Early Access,0.0
Action;Free to Play;Indie;RPG,0.0
Action;Free to Play;Indie;RPG;Early Access,0.0
Action;Free to Play;Indie;RPG;Strategy,0.0
Action;Free to Play;Indie;RPG;Strategy;Early Access,0.0
Action;Free to Play;Indie;Racing,0.0
Action;Free to Play;Indie;Racing;Simulation;Sports;Early Access,0.0
Action;Free to Play;Indie;Racing;Strategy,0.0
Action;Free to Play;Indie;Simulation,0.0
Action;Free to Play;Indie;Simulation;Early Access,0.0
Action;Free to Play;Indie;Simulation;Sports,0.0
Action;Free to Play;Indie;Simulation;Strategy,0.0
Action;Free to Play;Indie;Sports;Early Access,0.0
Action;Free to Play;Indie;Strategy,0.0
Action;Free to Play;Indie;Strategy;Early Access,0.0
Action;Free to Play;Massively Multiplayer,0.0
Action;Free to Play;Massively Multiplayer;Early Access,0.0
Action;Free to Play;Massively Multiplayer;RPG,0.0
Action;Free to Play;Massively Multiplayer;RPG;Early Access,0.0
Action;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,0.0
Action;Free to Play;Massively Multiplayer;RPG;Strategy,3.7966667811075845
Action;Free to Play;Massively Multiplayer;Racing,0.0
Action;Free to Play;Massively Multiplayer;Racing;Early Access,0.0
Action;Free to Play;Massively Multiplayer;Racing;Sports;Strategy,0.0
Action;Free to Play;Massively Multiplayer;Simulation,0.0
Action;Free to Play;Massively Multiplayer;Simulation;Early Access,0.0
Action;Free to Play;Massively Multiplayer;Simulation;Sports,0.0
Action;Free to Play;Massively Multiplayer;Simulation;Strategy,0.0
Action;Free to Play;Massively Multiplayer;Strategy,0.0
Action;Free to Play;Massively Multiplayer;Strategy;Early Access,0.0
Action;Free to Play;RPG,0.0
Action;Free to Play;RPG;Strategy,0.0
Action;Free to Play;Racing;Sports,0.0
Action;Free to Play;Simulation,0.0
Action;Free to Play;Simulation;Sports,0.0
Action;Free to Play;Simulation;Sports;Early Access,0.0
Action;Free to Play;Simulation;Strategy,0.0
