name,avg_total_playtime
Nuclear Throne,5.115E8
GRID 2,5.1E8
Car Mechanic Simulator 2015,5.1E8
Zero Escape: Zero Time Dilemma,5.068E8
The Escapists 2,5.055E8
Mordheim: City of the Damned,5.0435E8
Shadow of the Tomb Raider,5.04E8
Tom Clancys Splinter Cell Blacklist,5.0175E8
Blood Bowl 2,5.0155E8
How to Survive,4.995E8
King's Bounty: Armored Princess,4.977E8
Quantum Break,4.965E8
Sword Art Online: Fatal Bullet,4.9455E8
Stronghold Kingdoms,4.935E8
Project Zomboid,4.935E8
Card Hunter,4.9125E8
LEGO STAR WARS: The Force Awakens,4.8965E8
Crypt of the NecroDancer,4.89E8
Battleborn,4.89E8
Darksiders Warmastered Edition,4.89E8
F1 2016,4.8895E8
Gear Up,4.865E8
Deus Ex: Game of the Year Edition,4.86E8
Dungeon of the Endless,4.86E8
High Octane Drift,4.86E8
Battle Chasers: Nightwar,4.8545E8
Command & Conquer 3: Tiberium Wars,4.845E8
Golf With Your Friends,4.845E8
Prototype,4.8375E8
Doom 3: BFG Edition,4.83E8
Ori and the Blind Forest: Definitive Edition,4.83E8
Sniper Elite 3,4.815E8
Rocksmith,4.7985E8
Binary Domain,4.7925E8
Bully: Scholarship Edition,4.785E8
The Evil Within,4.7625E8
Carmageddon: Max Damage,4.76E8
The Witness,4.725E8
Euro Truck Simulator,4.725E8
Trine Enchanted Edition,4.71E8
Crysis,4.695E8
Ultimate Chicken Horse,4.665E8
Broken Sword 2 - the Smoking Mirror: Remastered,4.655E8
SkyDrift,4.6515E8
F.E.A.R. 3,4.65E8
Miscreated,4.6425E8
Tower Unite,4.641E8
"Warhammer 40,000: Dawn of War - Game of the Year Edition",4.635E8
Rebel Galaxy,4.635E8
Red Faction: Armageddon,4.605E8
Supreme Commander,4.59E8
Overlord,4.56E8
Duck Game,4.5525E8
Toribash,4.55E8
Child of Light,4.5375E8
Resident Evil / biohazard HD REMASTER,4.53E8
F.E.A.R. 2: Project Origin,4.515E8
Northgard,4.5075E8
Assassins Creed Brotherhood,4.5E8
Tribes: Ascend,4.48E8
Dead Rising 3 Apocalypse Edition,4.47E8
Cossacks 3,4.47E8
FINAL FANTASY X/X-2 HD Remaster,4.47E8
Into the Breach,4.4695E8
Warhammer Quest,4.4505E8
The Slug,4.43135E8
Viscera Cleanup Detail,4.4175E8
Fallout 3,4.41E8
NEKOPARA Vol. 2,4.395E8
Yakuza 0,4.3925E8
Dead Space 2,4.38E8
Tropico 5,4.38E8
Tropico 3,4.365E8
BlazBlue Centralfiction,4.365E8
Railroad Tycoon II Platinum,4.354E8
SpellForce 2: Faith in Destiny,4.354E8
FortressCraft Evolved!,4.353E8
Freeman: Guerrilla Warfare,4.3505E8
Assassins Creed Rogue,4.34E8
SpellForce - Platinum Edition,4.329E8
Injustice: Gods Among Us Ultimate Edition,4.32E8
Command & Conquer: Red Alert 3,4.3125E8
Train Simulator 2019,4.305E8
The Incredible Adventures of Van Helsing,4.29E8
Tap Adventure: Time Travel,4.29E8
Baldur's Gate: Enhanced Edition,4.2675E8
Danganronpa V3: Killing Harmony,4.248E8
Wasteland 2: Director's Cut,4.23E8
Dungeons 2,4.23E8
Assassin's Creed Syndicate,4.23E8
Beat Saber,4.214E8
Skyforge,4.2075E8
Gotham City Impostors Free to Play,4.2E8
Dungeons & Dragons Online,4.1775E8
Shadowrun Returns,4.17E8
Killer is Dead - Nightmare Edition,4.17E8
Modern Combat Versus,4.17E8
Serious Sam HD: The First Encounter,4.155E8
Wolcen: Lords of Mayhem,4.149E8
Thief,4.14E8
Kholat,4.14E8
Broken Sword: Director's Cut,4.1195E8
EverQuest II,4.11E8
LIMBO,4.095E8
Alien Swarm: Reactive Drop,4.095E8
Eador. Masters of the Broken World,4.08E8
Dead Bits,4.08E8
School of Dragons,4.08E8
Stories: The Path of Destinies,4.08E8
F1 2017,4.074E8
Hired Ops,4.0695E8
Unreal Tournament 3 Black,4.065E8
Home Behind,4.06E8
DARK SOULS: REMASTERED,4.06E8
Hooligan Vasja,4.0515E8
SimplePlanes,4.035E8
Furi,4.0125E8
Worms Clan Wars,3.9975E8
Call of Duty: Ghosts,3.99E8
Surgeon Simulator,3.99E8
Death Road to Canada,3.9865E8
Knight Online,3.955E8
Serious Sam Double D XXL,3.9525E8
NEKOPARA Vol. 1,3.945E8
Bloons TD 5,3.9445E8
STEINS;GATE,3.942E8
DRAGON QUEST XI: Echoes of an Elusive Age - Digital Edition of Light,3.933E8
Onmyoji,3.924E8
Sniper Elite 4,3.915E8
House Flipper,3.9E8
Idle Adventure,3.88875E8
Renowned Explorers: International Society,3.8815E8
RollerCoaster Tycoon World,3.8655E8
Far Cry 2: Fortune's Edition,3.855E8
POSTAL 2,3.855E8
Infinifactory,3.829E8
GRAV,3.8175E8
Stronghold 3 Gold,3.795E8
Shadowrun: Dragonfall - Director's Cut,3.7875E8
Shovel Knight: Treasure Trove,3.7575E8
Magic: The Gathering - Duels of the Planeswalkers 2013,3.745E8
Fallen Earth Free2Play,3.745E8
Planetbase,3.7415E8
